session_id,user_id,session_source,timestamp,event,register_date,age,gender,region,transaction_id,paid_time,total_amount,payment_method,product_id,category_id,category
11,1,Organic Search,1/1/22,Paid,12/29/21,35,F,Pusat,7,1/1/22,284000,Kartu Kredit,E2,E,E. Kebutuhan Pokok
16,2,CPC,1/1/22,Paid,12/30/21,33,M,Selatan,8,1/1/22,176000,Virtual Account,J1,J,J. Bumbu Dapur
17,3,Email,1/1/22,Paid,12/30/21,40,M,Pusat,9,1/1/22,111000,Virtual Account,B3,B,B. Makanan Beku
25,4,CPC,1/1/22,Paid,12/31/21,24,F,Pusat,11,1/1/22,616000,Kartu Kredit,H2,H,H. Daging Beku
28,5,Organic Social,1/1/22,Paid,12/30/21,34,M,Pusat,12,1/1/22,250000,Virtual Account,E4,E,E. Kebutuhan Pokok
29,6,Organic Social,1/1/22,Paid,12/31/21,37,M,Pusat,13,1/1/22,395000,Virtual Account,G1,G,G. Unggas
30,7,Organic Social,1/1/22,Paid,12/31/21,25,F,Pusat,14,1/1/22,73000,Virtual Account,B3,B,B. Makanan Beku
34,8,Direct,1/1/22,Paid,12/29/21,39,M,Selatan,15,1/1/22,400000,Virtual Account,E4,E,E. Kebutuhan Pokok
38,9,Organic Social,1/1/22,Paid,12/31/21,40,F,Timur,16,1/1/22,116000,QRIS,B3,B,B. Makanan Beku
46,10,Organic Search,1/1/22,Paid,12/31/21,31,M,Selatan,17,1/1/22,706000,Kartu Kredit,I2,I,I. Buah
47,11,Organic Social,1/1/22,Paid,12/31/21,26,F,Barat,18,1/1/22,38000,QRIS,J1,J,J. Bumbu Dapur
52,12,CPC,1/1/22,Paid,12/31/21,27,F,Timur,19,1/1/22,440000,Virtual Account,H1,H,H. Daging Beku
55,14,CPC,1/1/22,Paid,12/31/21,31,M,Barat,20,1/1/22,344000,Virtual Account,J2,J,J. Bumbu Dapur
54,13,CPC,1/1/22,Paid,12/31/21,24,M,Selatan,21,1/1/22,412000,Kartu Kredit,H2,H,H. Daging Beku
61,15,CPC,1/1/22,Paid,1/1/22,28,M,Selatan,22,1/1/22,300000,Transfer Rekening,G1,G,G. Unggas
62,16,Organic Social,1/1/22,Paid,12/31/21,25,F,Timur,23,1/1/22,51000,Virtual Account,D1,D,D. Makanan dan Minuman Ringan
70,17,Organic Search,1/1/22,Paid,12/30/21,30,M,Selatan,24,1/1/22,437000,Virtual Account,G2,G,G. Unggas
73,18,CPC,1/1/22,Paid,1/1/22,32,F,Selatan,25,1/1/22,78000,Kartu Kredit,G1,G,G. Unggas
74,19,CPC,1/1/22,Paid,12/31/21,36,M,Barat,26,1/1/22,150000,Virtual Account,J1,J,J. Bumbu Dapur
78,20,CPC,1/1/22,Paid,12/30/21,24,F,Barat,27,1/1/22,53000,QRIS,J1,J,J. Bumbu Dapur
80,21,Organic Social,1/1/22,Paid,12/30/21,37,M,Timur,28,1/1/22,110000,Transfer Rekening,E2,E,E. Kebutuhan Pokok
83,22,Direct,1/1/22,Paid,12/31/21,25,M,Pusat,29,1/1/22,62000,Transfer Rekening,B2,B,B. Makanan Beku
87,23,CPC,1/1/22,Paid,12/31/21,27,M,Pusat,30,1/1/22,464000,Transfer Rekening,H2,H,H. Daging Beku
88,24,Direct,1/1/22,Paid,12/30/21,27,F,Timur,31,1/1/22,236000,Virtual Account,E1,E,E. Kebutuhan Pokok
91,25,CPC,1/1/22,Paid,1/1/22,32,M,Selatan,32,1/1/22,68000,QRIS,J2,J,J. Bumbu Dapur
92,26,CPC,1/1/22,Paid,1/1/22,24,F,Timur,33,1/1/22,81000,Virtual Account,G2,G,G. Unggas
95,27,CPC,1/1/22,Paid,12/30/21,27,F,Selatan,34,1/1/22,255000,Kartu Debit,J1,J,J. Bumbu Dapur
97,28,Organic Search,1/1/22,Paid,1/1/22,40,F,Timur,35,1/1/22,268000,Kartu Kredit,I1,I,I. Buah
107,29,Direct,1/1/22,Paid,12/30/21,39,F,Pusat,36,1/1/22,200000,QRIS,E3,E,E. Kebutuhan Pokok
109,31,Organic Search,1/1/22,Paid,12/31/21,26,F,Timur,37,1/1/22,60000,QRIS,B3,B,B. Makanan Beku
108,30,CPC,1/1/22,Paid,1/1/22,28,M,Utara,38,1/1/22,145000,Kartu Kredit,G2,G,G. Unggas
120,32,Organic Search,1/1/22,Paid,12/31/21,21,F,Timur,39,1/1/22,125000,QRIS,E3,E,E. Kebutuhan Pokok
124,33,Organic Search,1/1/22,Paid,12/31/21,34,M,Selatan,40,1/1/22,330000,Virtual Account,F1,F,F. Paket Masak
126,34,Organic Social,1/1/22,Paid,12/30/21,21,F,Pusat,41,1/1/22,123000,Virtual Account,F4,F,F. Paket Masak
130,35,CPC,1/1/22,Paid,1/1/22,35,F,Barat,42,1/1/22,170000,Kartu Kredit,E4,E,E. Kebutuhan Pokok
134,36,CPC,1/1/22,Paid,12/31/21,33,M,Pusat,43,1/1/22,481000,Virtual Account,H2,H,H. Daging Beku
138,39,CPC,1/1/22,Paid,12/30/21,40,F,Timur,44,1/1/22,22000,QRIS,A2,A,A. Sayur
137,38,CPC,1/1/22,Paid,1/1/22,26,F,Pusat,45,1/1/22,58000,QRIS,C2,C,C. Susu & Olahan Susu
136,37,CPC,1/1/22,Paid,12/30/21,35,M,Pusat,46,1/1/22,835000,Transfer Rekening,G2,G,G. Unggas
139,40,Organic Search,1/1/22,Paid,12/31/21,28,F,Timur,47,1/1/22,305000,QRIS,E4,E,E. Kebutuhan Pokok
140,41,CPC,1/1/22,Paid,1/1/22,25,F,Timur,48,1/1/22,105000,QRIS,J1,J,J. Bumbu Dapur
143,42,CPC,1/1/22,Paid,1/1/22,34,M,Pusat,49,1/1/22,348000,Kartu Debit,G2,G,G. Unggas
144,43,Direct,1/1/22,Paid,12/31/21,26,F,Barat,50,1/1/22,80000,Kartu Debit,E1,E,E. Kebutuhan Pokok
149,44,Organic Search,1/1/22,Paid,12/31/21,19,M,Pusat,51,1/1/22,115000,QRIS,E1,E,E. Kebutuhan Pokok
151,45,CPC,1/1/22,Paid,12/31/21,24,M,Selatan,52,1/1/22,765000,Transfer Rekening,H2,H,H. Daging Beku
157,46,CPC,1/1/22,Paid,1/1/22,38,M,Pusat,53,1/1/22,55000,Kartu Kredit,J1,J,J. Bumbu Dapur
158,47,Organic Search,1/1/22,Paid,1/1/22,36,M,Pusat,54,1/1/22,42000,QRIS,A2,A,A. Sayur
162,48,Organic Social,1/1/22,Paid,12/31/21,29,M,Pusat,55,1/1/22,102000,Virtual Account,E1,E,E. Kebutuhan Pokok
164,49,CPC,1/1/22,Paid,1/1/22,37,M,Pusat,56,1/1/22,234000,Kartu Kredit,E2,E,E. Kebutuhan Pokok
171,51,Direct,1/1/22,Paid,1/1/22,33,F,Selatan,57,1/1/22,225000,QRIS,E3,E,E. Kebutuhan Pokok
169,50,Direct,1/1/22,Paid,12/31/21,25,M,Utara,58,1/1/22,113000,Virtual Account,G2,G,G. Unggas
176,52,CPC,1/1/22,Paid,12/31/21,30,F,Selatan,59,1/1/22,116000,Transfer Rekening,B3,B,B. Makanan Beku
181,53,CPC,1/1/22,Paid,12/31/21,27,F,Timur,60,1/1/22,66000,QRIS,J1,J,J. Bumbu Dapur
182,54,Organic Social,1/1/22,Paid,12/31/21,29,M,Selatan,61,1/1/22,297000,QRIS,F4,F,F. Paket Masak
186,55,CPC,1/1/22,Paid,12/31/21,22,F,Selatan,62,1/1/22,49000,Transfer Rekening,G1,G,G. Unggas
187,56,CPC,1/1/22,Paid,12/31/21,27,M,Pusat,63,1/1/22,63000,QRIS,G2,G,G. Unggas
191,58,Organic Search,1/1/22,Paid,12/31/21,34,F,Selatan,64,1/1/22,189000,Virtual Account,G1,G,G. Unggas
189,57,CPC,1/1/22,Paid,1/1/22,26,M,Barat,65,1/1/22,636000,Kartu Kredit,G2,G,G. Unggas
192,59,Organic Social,1/1/22,Paid,12/31/21,27,F,Selatan,67,1/1/22,200000,Virtual Account,J2,J,J. Bumbu Dapur
193,60,Organic Social,1/1/22,Paid,1/1/22,23,F,Timur,68,1/1/22,53000,QRIS,J1,J,J. Bumbu Dapur
198,61,Organic Social,1/1/22,Paid,12/30/21,27,M,Timur,69,1/1/22,100000,Virtual Account,J1,J,J. Bumbu Dapur
202,62,CPC,1/1/22,Paid,1/1/22,40,M,Timur,70,1/1/22,160000,Kartu Kredit,J1,J,J. Bumbu Dapur
206,64,CPC,1/1/22,Paid,12/31/21,29,F,Pusat,71,1/1/22,148000,Virtual Account,B3,B,B. Makanan Beku
205,63,CPC,1/1/22,Paid,1/1/22,23,M,Pusat,72,1/1/22,113000,QRIS,G2,G,G. Unggas
212,65,CPC,1/1/22,Paid,12/31/21,23,F,Barat,73,1/1/22,84000,QRIS,H2,H,H. Daging Beku
214,66,Organic Search,1/1/22,Paid,1/1/22,25,F,Pusat,74,1/1/22,190000,Kartu Kredit,F2,F,F. Paket Masak
217,67,Organic Search,1/1/22,Paid,1/1/22,30,F,Pusat,75,1/1/22,279000,Kartu Kredit,J2,J,J. Bumbu Dapur
218,68,Organic Social,1/1/22,Paid,12/30/21,33,M,Timur,76,1/1/22,98000,QRIS,J1,J,J. Bumbu Dapur
